# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
839424:[-1,0,2,0,-2,1]
120861:[0,-1,0,-1,-1,-2]
502957:[0,-1,1,-1,-2,-1]
103417:[1,0,1,0,-2,-2]
85725:[0,0,0,-1,-1,-2]
19197:[0,0,1,-1,-2,-1]
509241:[1,1,1,0,-2,-2]
256669:[0,1,0,-1,-1,-2]
660153:[2,0,1,0,-2,-2]
300829:[1,0,0,-1,-1,-2]
423021:[-1,-2,-2,-1,-1,-1]
550989:[0,1,1,-1,-2,-1]
699289:[-2,-1,1,1,-2,-2]
763869:[1,1,0,-1,-1,-2]
879577:[-1,-2,1,1,-2,-2]
320029:[1,1,1,-1,-2,-1]
427008:[-2,-2,0,0,-1,-2]
90169:[-1,-1,1,1,-2,-2]
375552:[-2,-1,0,0,-1,-2]
830541:[2,-1,1,-1,-2,-1]
930969:[-1,0,1,1,-2,-2]
813657:[-1,-1,1,0,-2,-1]
762624:[-1,-2,0,0,-1,-2]
3801:[0,-1,1,1,-2,-2]
18688:[-1,-1,0,0,-1,-2]
103273:[-1,0,1,0,-2,-1]
636109:[-1,-1,-2,-1,-1,-1]
126217:[0,-1,1,0,-2,-1]
281133:[-1,0,-2,-1,-1,-1]
12825:[0,0,1,0,-2,-1]
69888:[-1,0,0,0,-1,-2]
389133:[0,-1,-2,-1,-1,-1]
491049:[0,1,1,0,-2,-1]
90169:[0,0,1,1,-2,-2]
615609:[1,-1,1,0,-2,-1]
880537:[0,1,1,1,-2,-2]
274377:[1,0,1,0,-2,-1]
223488:[0,-1,0,0,-1,-2]
437209:[1,1,1,0,-2,-1]
100825:[1,0,1,1,-2,-2]
425728:[-2,-1,-2,-2,-1,0]
46137:[1,1,1,1,-2,-2]
522361:[2,0,1,0,-2,-1]
104704:[0,1,0,0,-1,-2]
634624:[-1,-1,-2,-2,-1,0]
479488:[1,0,0,0,-1,-2]
348525:[0,0,-2,-1,-1,-1]
235776:[0,-1,-2,-2,-1,0]
981721:[2,1,1,1,-2,-2]
309504:[1,1,0,0,-1,-2]
