# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
123141:[0,-1,0,-1,1,1]
36153:[0,0,1,1,2,-2]
108637:[-1,0,0,-1,1,0]
24901:[0,0,0,-1,1,1]
34333:[0,-1,0,-1,1,0]
683193:[1,0,1,2,1,-1]
147589:[0,1,0,-1,1,1]
637:[0,0,0,-1,1,0]
869376:[-2,0,0,0,1,2]
232741:[1,0,0,-1,1,1]
198912:[-1,-1,0,0,1,2]
361417:[2,0,1,2,1,-1]
517833:[0,0,1,2,2,-2]
118237:[0,1,0,-1,1,0]
5733:[1,1,0,-1,1,1]
61696:[-1,0,0,0,1,2]
838309:[1,2,0,-1,1,1]
28573:[1,0,0,-1,1,0]
295029:[0,0,2,-1,1,-1]
112896:[-1,-1,0,0,1,1]
961749:[0,1,2,-1,1,-1]
116221:[1,1,0,-1,1,0]
43264:[-1,0,0,0,1,1]
668853:[1,-1,2,-1,1,-1]
56889:[0,0,2,-1,2,-2]
354837:[1,0,2,-1,1,-1]
160000:[0,-1,0,0,1,1]
43776:[-1,1,0,0,1,2]
20736:[0,1,0,0,1,1]
131328:[0,0,2,0,2,-2]
969472:[-1,0,2,0,1,-1]
112896:[1,0,0,0,1,1]
307881:[0,0,2,1,2,-2]
43264:[1,1,0,0,1,1]
193536:[0,0,2,0,1,-1]
974473:[1,0,2,1,2,-2]
638749:[2,1,0,-1,1,0]
786688:[-1,-1,2,2,2,-2]
112896:[-1,-1,0,0,1,0]
489216:[1,0,2,0,1,-1]
608512:[0,-1,0,0,1,2]
61893:[-1,-2,2,1,1,-1]
696576:[1,1,2,2,2,-2]
228133:[-1,-1,0,1,1,1]
160000:[-1,0,0,0,1,0]
112896:[0,1,0,0,1,2]
238336:[-1,0,-2,-2,2,-1]
880896:[1,0,0,0,1,2]
869925:[-1,-1,2,1,1,-1]
940800:[0,-2,-2,-2,2,-1]
1893:[-1,0,0,1,1,1]
522496:[1,1,0,0,1,2]
102277:[-1,0,2,1,1,-1]
123141:[0,-1,0,1,1,1]
306373:[0,-1,2,1,1,-1]
24901:[0,0,0,1,1,1]
43264:[0,-1,0,0,1,0]
281637:[0,0,2,1,1,-1]
147589:[0,1,0,1,1,1]
481269:[-2,0,0,1,1,2]
730821:[1,0,2,1,1,-1]
112896:[0,1,0,0,1,0]
32512:[0,-1,-2,-2,2,-1]
208533:[-1,-1,0,1,1,2]
507136:[0,0,-2,-2,2,-1]
578341:[1,1,2,1,1,-1]
232741:[1,0,0,1,1,1]
510976:[1,-1,-2,-2,2,-1]
545536:[-1,0,2,2,1,-1]
270613:[-1,0,0,1,1,2]
693504:[0,-2,2,2,1,-1]
5733:[1,1,0,1,1,1]
20736:[1,0,0,0,1,0]
311296:[0,-1,2,2,1,-1]
838309:[1,2,0,1,1,1]
877824:[0,0,2,2,1,-1]
279189:[-1,1,0,1,1,2]
960768:[1,0,-2,-2,2,-1]
756661:[0,-1,0,1,1,2]
43264:[1,1,0,0,1,0]
986373:[-1,0,-2,-1,2,-1]
159997:[-1,-1,0,1,1,0]
210688:[-2,0,0,2,1,1]
108637:[-1,0,0,1,1,0]
702208:[-1,-2,0,2,1,1]
795429:[0,-1,-2,-1,2,-1]
251136:[1,-1,2,2,1,-1]
34333:[0,-1,0,1,1,0]
103221:[0,0,0,1,1,2]
788736:[-1,0,0,2,1,1]
39861:[0,1,0,1,1,2]
637:[0,0,0,1,1,0]
158661:[0,0,-2,-1,2,-1]
292608:[1,2,2,2,1,-1]
896821:[0,2,0,1,1,2]
795648:[0,-1,0,2,1,1]
118237:[0,1,0,1,1,0]
567552:[-1,0,-2,-2,2,0]
765184:[0,0,0,2,1,1]
613333:[1,1,0,1,1,2]
28573:[1,0,0,1,1,0]
444672:[1,1,0,2,1,1]
401664:[0,-1,-2,-2,2,0]
116221:[1,1,0,1,1,0]
949248:[-1,-2,0,2,1,2]
586117:[1,0,-2,-1,2,-1]
638749:[2,1,0,1,1,0]
147712:[0,0,-2,-2,2,0]
679168:[-1,-1,0,2,1,0]
947200:[2,1,0,2,1,1]
31744:[-1,0,0,2,1,0]
984832:[2,2,0,2,1,1]
70912:[0,-1,0,2,1,0]
307456:[2,-1,-2,-2,2,0]
387093:[-2,-1,1,-1,1,1]
179968:[0,0,0,2,1,0]
154624:[0,0,-2,0,2,-1]
45769:[0,-1,-2,-1,2,0]
918117:[-1,-1,1,-1,1,1]
737373:[-2,0,1,-1,1,2]
342784:[0,1,0,2,1,0]
810901:[0,0,-2,1,2,-1]
744448:[1,0,0,2,1,0]
212557:[0,-1,1,-1,1,2]
975616:[1,1,0,2,1,0]
348121:[-1,-1,-1,-2,2,-1]
390400:[2,1,0,2,1,0]
169353:[0,-1,-1,-2,2,-1]
91593:[0,0,-2,-1,2,0]
149913:[0,0,-1,-2,2,-1]
727909:[-1,0,1,-1,1,1]
929473:[0,-2,1,-2,1,0]
347337:[0,1,-2,-1,2,0]
65461:[0,-1,1,-1,1,1]
69033:[1,-1,-2,-1,2,0]
200989:[-1,-2,-1,-1,2,-1]
462249:[1,0,-2,-1,2,0]
784173:[-2,-1,1,-1,1,0]
455593:[1,1,-2,-1,2,0]
447669:[0,0,1,-1,1,1]
273837:[-1,-1,-1,-1,2,-1]
950841:[-2,-1,1,0,1,2]
44937:[2,2,-2,-1,2,0]
972981:[0,1,1,-1,1,1]
977725:[-1,0,-1,-1,2,-1]
817408:[-1,-2,-2,0,2,0]
207421:[0,-1,-1,-1,2,-1]
265869:[-1,-1,1,-1,1,0]
9421:[0,0,-1,-1,2,-1]
235776:[0,-1,-2,0,2,0]
112221:[1,0,-1,-1,2,-1]
604477:[-1,0,1,-1,1,0]
313600:[0,0,-2,0,2,0]
938217:[-2,0,1,0,1,2]
473344:[0,1,-2,0,2,0]
498297:[-1,-1,1,0,1,2]
254701:[1,1,-1,-1,2,-1]
105709:[0,-1,1,-1,1,0]
92416:[1,-1,-2,0,2,0]
62109:[0,0,1,-1,1,0]
350464:[1,0,-2,0,2,0]
399853:[2,0,-1,-1,2,-1]
43561:[-1,0,1,0,1,2]
113533:[2,1,-1,-1,2,-1]
302157:[0,1,1,-1,1,0]
679417:[-1,-2,-1,0,2,-1]
397017:[-1,1,1,0,1,2]
712713:[-1,-1,-1,0,2,-1]
567552:[1,1,-2,0,2,0]
486457:[0,-1,-1,0,2,-1]
249597:[1,0,1,-1,1,0]
3913:[0,0,-1,0,2,-1]
84397:[1,1,1,-1,1,0]
511033:[1,-1,-2,1,2,0]
590457:[1,0,-1,0,2,-1]
378381:[2,1,1,-1,1,0]
677001:[-1,2,1,0,1,2]
878848:[1,-2,-2,2,2,0]
300217:[0,-1,1,0,1,2]
953325:[-2,-2,-1,1,2,-1]
94249:[-1,0,-1,-2,2,0]
102249:[0,0,1,0,1,2]
49513:[0,-1,-1,-2,2,0]
526617:[0,1,1,0,1,2]
34321:[-1,-1,1,0,1,0]
785577:[1,0,1,0,1,2]
547677:[0,-1,-1,1,2,-1]
857869:[-2,1,1,1,1,2]
765189:[1,0,1,-1,1,1]
21609:[0,0,-1,-2,2,0]
1197:[0,0,-1,1,2,-1]
111117:[-1,-1,1,1,1,2]
475909:[1,1,1,-1,1,1]
340957:[-1,0,1,1,1,2]
498537:[0,1,-1,-2,2,0]
330625:[-1,0,1,0,1,0]
823033:[0,-1,-1,2,2,-1]
828841:[1,1,-1,-2,2,0]
671661:[-1,1,1,1,1,2]
787737:[-1,0,-1,-1,2,0]
763273:[0,0,-1,2,2,-1]
5637:[1,2,1,-1,1,1]
894208:[-2,-1,0,-2,2,-1]
77949:[0,0,1,1,1,2]
83200:[0,-1,0,-2,2,-1]
72057:[0,-1,-1,-1,2,0]
55633:[0,-1,1,0,1,0]
133888:[0,0,0,-2,2,-1]
553293:[0,1,1,1,1,2]
627456:[0,1,0,-2,2,-1]
109297:[-1,-1,1,0,1,1]
61029:[-1,-1,0,-1,2,-1]
889:[0,0,-1,-1,2,0]
179697:[-1,0,1,0,1,1]
589341:[1,0,1,1,1,2]
961:[0,0,1,0,1,0]
138753:[0,-1,1,0,1,1]
206317:[1,1,1,1,1,2]
24577:[0,0,1,0,1,1]
249253:[0,-1,0,-1,2,-1]
607609:[0,1,-1,-1,2,0]
24577:[0,1,1,0,1,1]
94513:[0,1,1,0,1,0]
249049:[1,-1,-1,-1,2,0]
66049:[1,0,1,0,1,0]
744937:[-2,1,1,2,1,2]
3589:[0,0,0,-1,2,-1]
160329:[-1,-1,1,2,1,2]
890949:[1,0,0,-1,2,-1]
692793:[0,0,1,2,1,2]
14449:[1,1,1,0,1,0]
73177:[1,0,-1,-1,2,0]
212269:[-1,-1,1,1,1,0]
130321:[1,0,1,0,1,1]
108637:[-1,0,1,1,1,0]
126993:[1,1,1,0,1,1]
156457:[1,1,1,2,1,2]
729:[1,1,-1,-1,2,0]
952081:[1,2,1,0,1,1]
308793:[2,0,-1,-1,2,0]
461568:[-1,-2,0,0,2,-1]
63973:[-1,-1,1,1,1,1]
42061:[0,-1,1,1,1,0]
184576:[-1,-1,0,0,2,-1]
925753:[2,1,-1,-1,2,0]
671877:[0,-2,2,-1,1,2]
637:[0,0,1,1,1,0]
131877:[-1,0,1,1,1,1]
297216:[0,-1,0,0,2,-1]
403200:[-2,-1,2,0,1,2]
128173:[0,1,1,1,1,0]
424192:[1,0,0,0,2,-1]
448357:[-1,1,1,1,1,1]
443737:[-1,-1,-1,0,2,0]
831744:[1,1,0,0,2,-1]
284277:[0,-1,1,1,1,1]
801901:[1,-1,1,1,1,0]
424704:[2,1,0,0,2,-1]
626944:[0,-1,2,0,1,2]
61029:[-1,-1,0,1,2,-1]
13237:[0,0,1,1,1,1]
968448:[1,0,2,0,1,2]
73717:[0,1,1,1,1,1]
249253:[0,-1,0,1,2,-1]
53913:[0,-1,-1,0,2,0]
515061:[-2,-1,2,1,1,2]
3481:[0,0,-1,0,2,0]
3589:[0,0,0,1,2,-1]
547993:[0,1,-1,0,2,0]
41797:[1,0,1,1,1,1]
28573:[1,0,1,1,1,0]
890949:[1,0,0,1,2,-1]
59781:[1,1,1,1,1,1]
60109:[1,1,1,1,1,0]
601941:[-1,-1,2,1,1,2]
73177:[1,-1,-1,0,2,0]
666549:[0,0,2,1,1,2]
894208:[-2,-1,0,2,2,-1]
136737:[-1,-1,1,2,1,1]
52441:[1,0,-1,0,2,0]
265633:[-1,0,1,2,1,1]
278721:[-1,-1,1,2,1,0]
837921:[-1,1,1,2,1,1]
110613:[1,0,2,1,1,2]
83200:[0,-1,0,2,2,-1]
429312:[-1,-1,2,2,1,2]
176601:[1,1,-1,0,2,0]
628992:[0,0,2,2,1,2]
66841:[2,1,-1,0,2,0]
187392:[1,0,2,2,1,2]
133888:[0,0,0,2,2,-1]
39601:[-1,0,1,2,1,0]
898609:[0,-1,1,2,1,1]
181633:[0,-1,1,2,1,0]
142569:[-1,-1,-1,1,2,0]
627456:[0,1,0,2,2,-1]
306121:[0,-1,-1,1,2,0]
53361:[0,0,1,2,1,0]
91593:[0,0,-1,1,2,0]
22113:[0,1,1,2,1,0]
472233:[1,-1,-1,1,2,0]
269361:[1,0,1,2,1,0]
823033:[0,-1,1,-2,2,-1]
462249:[1,0,-1,1,2,0]
388864:[1,1,2,2,1,2]
858793:[1,1,-1,1,2,0]
726817:[1,1,1,2,1,0]
141489:[0,0,1,2,1,1]
223729:[2,0,1,2,1,0]
567552:[-1,0,0,-2,2,0]
428337:[0,1,1,2,1,1]
168192:[0,-1,0,-2,2,0]
36864:[-1,1,-2,-2,2,1]
763273:[0,0,1,-2,2,-1]
274113:[1,0,1,2,1,1]
953325:[-2,-2,1,-1,2,-1]
126529:[1,1,1,2,1,1]
928512:[0,-1,-2,-2,2,1]
547677:[0,-1,1,-1,2,-1]
869457:[2,1,1,2,1,1]
6912:[0,0,-2,-2,2,1]
147712:[0,0,0,-2,2,0]
427264:[0,1,-2,-2,2,1]
602368:[0,1,0,-2,2,0]
224256:[1,1,-2,-2,2,1]
542464:[-1,-1,2,0,1,1]
1197:[0,0,1,-1,2,-1]
734989:[-1,-1,-2,-1,2,1]
480025:[-1,-1,0,-1,2,0]
679417:[-1,-2,1,0,2,-1]
373581:[0,-1,-2,-1,2,1]
527616:[0,-1,2,0,1,1]
124173:[0,0,-2,-1,2,1]
787737:[-1,0,0,-1,2,0]
712713:[-1,-1,1,0,2,-1]
744448:[0,0,2,0,1,1]
486457:[0,-1,1,0,2,-1]
75897:[0,-1,0,-1,2,0]
3913:[0,0,1,0,2,-1]
216781:[0,1,-2,-1,2,1]
889:[0,0,0,-1,2,0]
358029:[1,-1,-2,-1,2,1]
590457:[1,0,1,0,2,-1]
331776:[0,2,2,0,1,1]
619129:[0,1,0,-1,2,0]
200989:[-1,-2,1,1,2,-1]
272461:[1,0,-2,-1,2,1]
466393:[1,-1,0,-1,2,0]
194989:[1,-1,2,-1,1,0]
73177:[1,0,0,-1,2,0]
41997:[1,1,-2,-1,2,1]
273837:[-1,-1,1,1,2,-1]
173824:[1,0,2,0,1,1]
218073:[1,1,0,-1,2,0]
977725:[-1,0,1,1,2,-1]
447232:[-1,-1,-2,0,2,1]
308793:[2,0,0,-1,2,0]
207421:[0,-1,1,1,2,-1]
5733:[-1,-1,2,1,1,1]
487225:[2,1,0,-1,2,0]
946789:[-1,0,2,1,1,1]
831744:[0,-1,-2,0,2,1]
826381:[1,0,2,-1,1,0]
589824:[-1,-1,0,0,2,0]
415597:[1,1,2,-1,1,0]
691200:[0,0,-2,0,2,1]
822117:[-1,1,2,1,1,1]
65536:[0,-1,0,0,2,0]
268933:[0,-1,2,1,1,1]
589824:[0,1,0,0,2,0]
9421:[0,0,1,1,2,-1]
132741:[0,0,2,1,1,1]
57600:[1,-1,-2,0,2,1]
471429:[0,1,2,1,1,1]
404269:[2,2,2,-1,1,0]
196608:[1,-1,0,0,2,0]
52389:[1,0,2,1,1,1]
112221:[1,0,1,1,2,-1]
249253:[1,1,2,1,1,1]
695296:[-2,-2,2,0,1,0]
54016:[-1,-1,2,2,1,1]
272128:[1,0,-2,0,2,1]
522496:[-1,-1,2,0,1,0]
120576:[1,1,-2,0,2,1]
254701:[1,1,1,1,2,-1]
408832:[0,-1,2,0,1,0]
65536:[1,1,0,0,2,0]
200704:[0,0,2,0,1,0]
499968:[-1,0,2,2,1,1]
34048:[0,1,2,0,1,0]
399853:[2,0,1,1,2,-1]
116992:[-1,1,2,2,1,1]
73984:[1,0,2,0,1,0]
113533:[2,1,1,1,2,-1]
740352:[0,-1,2,2,1,1]
499968:[1,2,-2,0,2,1]
18688:[0,0,2,2,1,1]
262144:[2,0,0,0,2,0]
348121:[-1,-1,1,2,2,-1]
196608:[2,1,0,0,2,0]
996352:[2,2,-2,0,2,1]
495616:[0,1,2,2,1,1]
1501:[2,2,-2,1,2,1]
12544:[1,1,2,0,1,0]
410457:[-1,0,-1,-2,2,1]
169353:[0,-1,1,2,2,-1]
480025:[-1,-1,0,1,2,0]
72448:[1,0,2,2,1,1]
356409:[0,-1,-1,-2,2,1]
69888:[1,1,2,2,1,1]
787737:[-1,0,0,1,2,0]
97929:[0,0,-1,-2,2,1]
149913:[0,0,1,2,2,-1]
580989:[-1,-2,2,1,1,0]
75897:[0,-1,0,1,2,0]
562653:[-1,-1,2,1,1,0]
889:[0,0,0,1,2,0]
33024:[-1,-1,-2,-2,2,2]
810901:[0,0,2,-1,2,-1]
437209:[0,1,-1,-2,2,1]
619129:[0,1,0,1,2,0]
648201:[1,1,-1,-2,2,1]
154624:[0,0,2,0,2,-1]
604477:[-1,0,2,1,1,0]
466393:[1,-1,0,1,2,0]
20029:[0,-1,2,1,1,0]
442624:[0,0,-2,-2,2,2]
663925:[-1,-1,-1,-1,2,1]
986373:[-1,0,2,1,2,-1]
555264:[1,0,-2,-2,2,2]
795429:[0,-1,2,1,2,-1]
442624:[1,1,-2,-2,2,2]
492069:[-1,0,-1,-1,2,1]
62109:[0,0,2,1,1,0]
553216:[2,0,-2,-2,2,2]
295173:[0,-1,-1,-1,2,1]
73177:[1,0,0,1,2,0]
292201:[-1,-1,-2,-1,2,2]
9909:[0,0,-1,-1,2,1]
158661:[0,0,2,1,2,-1]
78181:[0,1,-1,-1,2,1]
574921:[-1,2,-2,-1,2,2]
586117:[1,0,2,1,2,-1]
218073:[1,1,0,1,2,0]
238336:[-1,0,2,2,2,-1]
498537:[0,0,-2,-1,2,2]
132421:[1,0,-1,-1,2,1]
31561:[1,0,-2,-1,2,2]
940800:[0,-2,2,2,2,-1]
498537:[1,1,-2,-1,2,2]
32512:[0,-1,2,2,2,-1]
585984:[1,0,-2,0,2,2]
308793:[2,0,0,1,2,0]
191997:[0,1,2,1,1,0]
487225:[2,1,0,1,2,0]
507136:[0,0,2,2,2,-1]
101109:[1,1,-1,-1,2,1]
510976:[1,-1,2,2,2,-1]
567552:[-1,0,0,2,2,0]
960768:[1,0,2,2,2,-1]
489657:[0,-2,-2,1,2,2]
168192:[0,-1,0,2,2,0]
133077:[2,0,-1,-1,2,1]
147712:[0,0,0,2,2,0]
989829:[2,1,-1,-1,2,1]
602368:[0,1,0,2,2,0]
214729:[-1,-1,-1,-2,2,2]
763293:[1,-1,2,1,1,0]
142569:[-1,-1,1,-1,2,0]
184441:[-1,-1,-1,0,2,1]
568521:[0,0,-1,-2,2,2]
249597:[1,0,2,1,1,0]
568521:[1,1,-1,-2,2,2]
811209:[-1,0,-1,0,2,1]
306121:[0,-1,1,-1,2,0]
24925:[1,1,2,1,1,0]
19209:[2,1,-1,-2,2,2]
320553:[0,-1,-1,0,2,1]
72057:[-1,-1,-1,-1,2,2]
20601:[0,0,-1,0,2,1]
748288:[-1,-1,2,2,1,0]
97225:[0,1,-1,0,2,1]
31744:[-1,0,2,2,1,0]
91593:[0,0,1,-1,2,0]
210688:[0,-1,2,2,1,0]
200473:[-1,0,-1,-1,2,2]
286425:[1,-1,-1,0,2,1]
472233:[1,-1,1,-1,2,0]
16681:[1,0,-1,0,2,1]
55993:[-1,1,-1,-1,2,2]
462249:[1,0,1,-1,2,0]
60793:[0,0,-1,-1,2,2]
23673:[1,1,-1,0,2,1]
858793:[1,1,1,-1,2,0]
320553:[2,1,-1,0,2,1]
264729:[0,1,-1,-1,2,2]
443737:[-1,-1,1,0,2,0]
719397:[-2,-1,-1,1,2,1]
53913:[0,-1,1,0,2,0]
155097:[1,0,-1,-1,2,2]
549189:[0,-1,-1,1,2,1]
60793:[1,1,-1,-1,2,2]
386613:[0,0,-1,1,2,1]
3481:[0,0,1,0,2,0]
522553:[-2,-1,-1,0,2,2]
996309:[1,-1,-1,1,2,1]
179968:[0,0,2,2,1,0]
547993:[0,1,1,0,2,0]
522496:[0,1,2,2,1,0]
368581:[1,0,-1,1,2,1]
73177:[1,-1,1,0,2,0]
493689:[-1,-1,-1,0,2,2]
52441:[1,0,1,0,2,0]
128181:[1,1,-1,1,2,1]
244537:[-1,0,-1,0,2,2]
77056:[1,-1,2,2,1,0]
286533:[2,1,-1,1,2,1]
176601:[1,1,1,0,2,0]
625177:[0,-2,-1,2,2,1]
66841:[2,1,1,0,2,0]
445369:[0,-1,-1,0,2,2]
744448:[1,0,2,2,1,0]
81529:[0,0,-1,0,2,2]
811776:[-1,0,0,-2,2,1]
91449:[0,1,-1,0,2,2]
642304:[1,1,2,2,1,0]
736249:[0,2,-1,0,2,2]
787737:[-1,0,1,1,2,0]
201657:[1,0,-1,0,2,2]
299008:[1,2,2,2,1,0]
81529:[1,1,-1,0,2,2]
72057:[0,-1,1,1,2,0]
588601:[1,2,-1,0,2,2]
889:[0,0,1,1,2,0]
237312:[0,-1,0,-2,2,1]
607609:[0,1,1,1,2,0]
86697:[0,-1,-1,1,2,2]
628992:[0,0,0,-2,2,1]
249049:[1,-1,1,1,2,0]
571881:[1,2,-1,1,2,2]
73177:[1,0,1,1,2,0]
764653:[-1,-1,0,-1,2,1]
540928:[-1,-2,0,-2,2,2]
48621:[-1,0,0,-1,2,1]
2304:[2,2,0,-2,2,2]
729:[1,1,1,1,2,0]
104877:[0,-1,0,-1,2,1]
308793:[2,0,1,1,2,0]
499161:[-2,0,0,-1,2,2]
19629:[0,0,0,-1,2,1]
925753:[2,1,1,1,2,0]
313261:[0,1,0,-1,2,1]
447129:[-1,-1,0,-1,2,2]
81517:[1,0,0,-1,2,1]
94249:[-1,0,1,2,2,0]
135021:[1,1,0,-1,2,1]
223801:[-1,0,0,-1,2,2]
724269:[2,0,0,-1,2,1]
482809:[0,-1,0,-1,2,2]
49513:[0,-1,1,2,2,0]
84121:[0,0,0,-1,2,2]
21609:[0,0,1,2,2,0]
239661:[2,1,0,-1,2,1]
498537:[0,1,1,2,2,0]
479488:[-1,-1,0,0,2,1]
509241:[0,1,0,-1,2,2]
828841:[1,1,1,2,2,0]
711417:[1,0,0,-1,2,2]
309504:[-1,0,0,0,2,1]
878848:[1,-2,2,-2,2,0]
223488:[0,-1,0,0,2,1]
84121:[1,1,0,-1,2,2]
104704:[0,1,0,0,2,1]
658489:[1,2,0,-1,2,2]
511033:[1,-1,2,-1,2,0]
762624:[1,-1,0,0,2,1]
262144:[-1,-1,0,0,2,2]
18688:[1,0,0,0,2,1]
817408:[-1,-2,2,0,2,0]
69888:[1,1,0,0,2,1]
786432:[-1,1,0,0,2,2]
427008:[2,0,0,0,2,1]
235776:[0,-1,2,0,2,0]
375552:[2,1,0,0,2,1]
313600:[0,0,2,0,2,0]
764653:[-1,-1,0,1,2,1]
473344:[0,1,2,0,2,0]
48621:[-1,0,0,1,2,1]
92416:[1,-1,2,0,2,0]
589824:[0,-1,0,0,2,2]
350464:[1,0,2,0,2,0]
104877:[0,-1,0,1,2,1]
567552:[1,1,2,0,2,0]
19629:[0,0,0,1,2,1]
45769:[0,-1,2,1,2,0]
65536:[0,1,0,0,2,2]
313261:[0,1,0,1,2,1]
91593:[0,0,2,1,2,0]
262144:[1,0,0,0,2,2]
347337:[0,1,2,1,2,0]
81517:[1,0,0,1,2,1]
786432:[1,2,0,0,2,2]
69033:[1,-1,2,1,2,0]
135021:[1,1,0,1,2,1]
462249:[1,0,2,1,2,0]
499161:[-2,0,0,1,2,2]
455593:[1,1,2,1,2,0]
724269:[2,0,0,1,2,1]
44937:[2,2,2,1,2,0]
239661:[2,1,0,1,2,1]
567552:[-1,0,2,2,2,0]
811776:[-1,0,0,2,2,1]
401664:[0,-1,2,2,2,0]
447129:[-1,-1,0,1,2,2]
147712:[0,0,2,2,2,0]
223801:[-1,0,0,1,2,2]
237312:[0,-1,0,2,2,1]
307456:[2,-1,2,2,2,0]
628992:[0,0,0,2,2,1]
482809:[0,-1,0,1,2,2]
625177:[0,-2,1,-2,2,1]
84121:[0,0,0,1,2,2]
719397:[-2,-1,1,-1,2,1]
509241:[0,1,0,1,2,2]
549189:[0,-1,1,-1,2,1]
711417:[1,0,0,1,2,2]
386613:[0,0,1,-1,2,1]
84121:[1,1,0,1,2,2]
996309:[1,-1,1,-1,2,1]
658489:[1,2,0,1,2,2]
368581:[1,0,1,-1,2,1]
540928:[-1,-2,0,2,2,2]
128181:[1,1,1,-1,2,1]
2304:[2,2,0,2,2,2]
286533:[2,1,1,-1,2,1]
184441:[-1,-1,1,0,2,1]
86697:[0,-1,1,-1,2,2]
811209:[-1,0,1,0,2,1]
571881:[1,2,1,-1,2,2]
320553:[0,-1,1,0,2,1]
522553:[-2,-1,1,0,2,2]
20601:[0,0,1,0,2,1]
493689:[-1,-1,1,0,2,2]
97225:[0,1,1,0,2,1]
244537:[-1,0,1,0,2,2]
286425:[1,-1,1,0,2,1]
445369:[0,-1,1,0,2,2]
16681:[1,0,1,0,2,1]
81529:[0,0,1,0,2,2]
23673:[1,1,1,0,2,1]
91449:[0,1,1,0,2,2]
320553:[2,1,1,0,2,1]
736249:[0,2,1,0,2,2]
663925:[-1,-1,1,1,2,1]
201657:[1,0,1,0,2,2]
492069:[-1,0,1,1,2,1]
81529:[1,1,1,0,2,2]
295173:[0,-1,1,1,2,1]
588601:[1,2,1,0,2,2]
9909:[0,0,1,1,2,1]
72057:[-1,-1,1,1,2,2]
78181:[0,1,1,1,2,1]
200473:[-1,0,1,1,2,2]
132421:[1,0,1,1,2,1]
55993:[-1,1,1,1,2,2]
101109:[1,1,1,1,2,1]
60793:[0,0,1,1,2,2]
133077:[2,0,1,1,2,1]
264729:[0,1,1,1,2,2]
989829:[2,1,1,1,2,1]
155097:[1,0,1,1,2,2]
410457:[-1,0,1,2,2,1]
60793:[1,1,1,1,2,2]
356409:[0,-1,1,2,2,1]
214729:[-1,-1,1,2,2,2]
97929:[0,0,1,2,2,1]
568521:[0,0,1,2,2,2]
437209:[0,1,1,2,2,1]
568521:[1,1,1,2,2,2]
648201:[1,1,1,2,2,1]
19209:[2,1,1,2,2,2]
1501:[2,2,2,-1,2,1]
489657:[0,-2,2,-1,2,2]
447232:[-1,-1,2,0,2,1]
831744:[0,-1,2,0,2,1]
585984:[1,0,2,0,2,2]
691200:[0,0,2,0,2,1]
292201:[-1,-1,2,1,2,2]
57600:[1,-1,2,0,2,1]
574921:[-1,2,2,1,2,2]
272128:[1,0,2,0,2,1]
498537:[0,0,2,1,2,2]
120576:[1,1,2,0,2,1]
31561:[1,0,2,1,2,2]
499968:[1,2,2,0,2,1]
498537:[1,1,2,1,2,2]
996352:[2,2,2,0,2,1]
33024:[-1,-1,2,2,2,2]
734989:[-1,-1,2,1,2,1]
442624:[0,0,2,2,2,2]
373581:[0,-1,2,1,2,1]
555264:[1,0,2,2,2,2]
124173:[0,0,2,1,2,1]
442624:[1,1,2,2,2,2]
216781:[0,1,2,1,2,1]
553216:[2,0,2,2,2,2]
358029:[1,-1,2,1,2,1]
272461:[1,0,2,1,2,1]
41997:[1,1,2,1,2,1]
36864:[-1,1,2,2,2,1]
928512:[0,-1,2,2,2,1]
6912:[0,0,2,2,2,1]
427264:[0,1,2,2,2,1]
224256:[1,1,2,2,2,1]
973161:[-1,-1,2,1,-2,0]
564073:[-1,0,2,1,-2,0]
97417:[0,-1,2,1,-2,0]
44937:[0,0,2,1,-2,0]
595593:[0,1,2,1,-2,0]
835497:[1,0,2,1,-2,0]
669952:[-1,-1,2,2,-2,0]
577792:[0,-1,2,2,-2,0]
258304:[0,0,2,2,-2,0]
657664:[1,-1,2,2,-2,0]
792832:[1,0,2,2,-2,0]
389361:[1,1,1,0,0,1]
78973:[-1,-1,1,1,0,1]
65325:[-1,0,1,1,0,1]
166621:[-1,1,1,1,0,1]
329133:[0,-1,1,1,0,1]
14173:[0,0,1,1,0,1]
130573:[0,1,1,1,0,1]
187789:[1,0,1,1,0,1]
65853:[1,1,1,1,0,1]
53857:[-1,-1,1,2,0,1]
253873:[-1,0,1,2,0,1]
243201:[-1,1,1,2,0,1]
140193:[0,0,1,2,0,1]
472561:[0,1,1,2,0,1]
402577:[1,0,1,2,0,1]
44257:[1,1,1,2,0,1]
448381:[1,-1,2,-1,0,1]
456448:[-2,-1,2,0,0,1]
531712:[-1,-1,2,0,0,1]
767232:[-1,0,2,0,0,1]
521472:[0,-1,2,0,0,1]
790528:[0,0,2,0,0,1]
390144:[0,2,2,0,0,1]
249088:[1,0,2,0,0,1]
986061:[-2,-1,2,1,0,1]
170029:[-1,-1,2,1,0,1]
258157:[-1,0,2,1,0,1]
285357:[-1,1,2,1,0,1]
295309:[0,-1,2,1,0,1]
148941:[0,0,2,1,0,1]
744973:[0,1,2,1,0,1]
116269:[1,0,2,1,0,1]
786541:[1,1,2,1,0,1]
